"REF_DATE","GEO","DGUID","Work activity during the reference year (9)","Age (15A)","Gender (3)","Statistics (3)","Occupation - Minor group - National Occupational Classification (NOC) 2021 (309A)","Employment income statistics (7)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","143 Library, correspondence and other clerks","Median employment income ($)","","0","units","0","","1.1.1.1.1.39.3","36400","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1430 Library, correspondence and other clerks","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.40.1","35935","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1430 Library, correspondence and other clerks","With employment income","","0","units","0","","1.1.1.1.1.40.2","34680","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1430 Library, correspondence and other clerks","Median employment income ($)","","0","units","0","","1.1.1.1.1.40.3","36400","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","144 Supply chain logistics, tracking and scheduling coordination occupations","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.41.1","262445","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","144 Supply chain logistics, tracking and scheduling coordination occupations","With employment income","","0","units","0","","1.1.1.1.1.41.2","252785","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","144 Supply chain logistics, tracking and scheduling coordination occupations","Median employment income ($)","","0","units","0","","1.1.1.1.1.41.3","39200","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1440 Supply chain logistics, tracking and scheduling coordination occupations","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.42.1","262445","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1440 Supply chain logistics, tracking and scheduling coordination occupations","With employment income","","0","units","0","","1.1.1.1.1.42.2","252785","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1440 Supply chain logistics, tracking and scheduling coordination occupations","Median employment income ($)","","0","units","0","","1.1.1.1.1.42.3","39200","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","2 Natural and applied sciences and related occupations","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.43.1","1666685","","","","0"
